Organism (genomeID),Organism,TaxID,SEED_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Strain,Unnamed: 12,Prediction Mean,Prediction STD,Phenotype,Binary Prediction Mean
Bifidobacterium longum strain AM39-8AC (216816.293),Bifidobacterium longum strain AM39-8AC ,216816,216816.293,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0474052429199218,0.0138956530609504,Human Non Pathogenic,0.0
Bifidobacterium longum strain AM42-13AT (216816.295),Bifidobacterium longum strain AM42-13AT ,216816,216816.295,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.061920166015625,0.0067384788926481,Human Non Pathogenic,0.0
Bifidobacterium longum strain APC1461 (216816.186),Bifidobacterium longum strain APC1461 ,216816,216816.186,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0800132751464843,0.0579700458360809,Human Non Pathogenic,0.0
Bifidobacterium longum strain APC1462 (216816.181),Bifidobacterium longum strain APC1462 ,216816,216816.181,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0573883056640625,0.0233932962405316,Human Non Pathogenic,0.0
Bifidobacterium longum strain APC1464 (216816.180),Bifidobacterium longum strain APC1464 ,216816,216816.18,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.050323486328125,0.0174613224430876,Human Non Pathogenic,0.0
Bifidobacterium longum strain APC1465 (216816.179),Bifidobacterium longum strain APC1465 ,216816,216816.179,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.068145751953125,0.0337877761176996,Human Non Pathogenic,0.0
Bifidobacterium longum strain APC1466 (216816.185),Bifidobacterium longum strain APC1466 ,216816,216816.185,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0654449462890625,0.0223632064968009,Human Non Pathogenic,0.0
Bifidobacterium longum strain APC1468 (216816.178),Bifidobacterium longum strain APC1468 ,216816,216816.178,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0794525146484375,0.0102134428467736,Human Non Pathogenic,0.0
Bifidobacterium longum strain APC1472 (216816.176),Bifidobacterium longum strain APC1472 ,216816,216816.176,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0541839599609375,0.0235680530278762,Human Non Pathogenic,0.0
Bifidobacterium longum strain APC1473 (216816.177),Bifidobacterium longum strain APC1473 ,216816,216816.177,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0711212158203125,0.0299874028999856,Human Non Pathogenic,0.0
Bifidobacterium longum strain APC1476 (216816.184),Bifidobacterium longum strain APC1476 ,216816,216816.184,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0516586303710937,0.003321118467347,Human Non Pathogenic,0.0
Bifidobacterium longum strain APC1477 (216816.175),Bifidobacterium longum strain APC1477 ,216816,216816.175,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0315132141113281,0.0086278796815205,Human Non Pathogenic,0.0
Bifidobacterium longum strain APC1478 (216816.173),Bifidobacterium longum strain APC1478 ,216816,216816.173,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0287361145019531,0.0058874547686675,Human Non Pathogenic,0.0
Bifidobacterium longum strain APC1480 (216816.174),Bifidobacterium longum strain APC1480 ,216816,216816.174,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0437240600585937,0.0081322152569358,Human Non Pathogenic,0.0
Bifidobacterium longum strain APC1482 (216816.172),Bifidobacterium longum strain APC1482 ,216816,216816.172,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0597686767578125,0.0218521682336842,Human Non Pathogenic,0.0
Bifidobacterium longum strain APC1503 (216816.169),Bifidobacterium longum strain APC1503 ,216816,216816.169,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0678863525390625,0.0087631027643909,Human Non Pathogenic,0.0
Bifidobacterium longum strain APC1504 (216816.168),Bifidobacterium longum strain APC1504 ,216816,216816.168,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0510139465332031,0.0209549383386475,Human Non Pathogenic,0.0
Bifidobacterium longum strain BG7 (216816.114),Bifidobacterium longum strain BG7 ,216816,216816.114,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0423660278320312,0.0106356359419937,Human Non Pathogenic,0.0
Bifidobacterium longum strain BXY01 (216816.111),Bifidobacterium longum strain BXY01 ,216816,216816.111,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0723419189453125,0.0124306135060456,Human Non Pathogenic,0.0
Bifidobacterium longum strain CMW7750 (216816.115),Bifidobacterium longum strain CMW7750 ,216816,216816.115,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0640182495117187,0.0243042035775824,Human Non Pathogenic,0.0
Bifidobacterium longum strain DPC6316 (216816.171),Bifidobacterium longum strain DPC6316 ,216816,216816.171,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0510330200195312,0.0083616040891993,Human Non Pathogenic,0.0
Bifidobacterium longum strain DPC6317 (216816.167),Bifidobacterium longum strain DPC6317 ,216816,216816.167,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0538406372070312,0.0163063900852135,Human Non Pathogenic,0.0
Bifidobacterium longum strain DPC6320 (216816.183),Bifidobacterium longum strain DPC6320 ,216816,216816.183,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.063201904296875,0.0152197070300625,Human Non Pathogenic,0.0
Bifidobacterium longum strain DPC6321 (216816.170),Bifidobacterium longum strain DPC6321 ,216816,216816.17,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0435371398925781,0.0210682145253465,Human Non Pathogenic,0.0
Bifidobacterium longum strain DPC6323 (216816.182),Bifidobacterium longum strain DPC6323 ,216816,216816.182,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0605087280273437,0.0201746741334537,Human Non Pathogenic,0.0
Bifidobacterium longum strain DS1_3 (216816.225),Bifidobacterium longum strain DS1_3 ,216816,216816.225,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0463714599609375,0.0079996084428495,Human Non Pathogenic,0.0
Bifidobacterium longum strain DS15_3 (216816.227),Bifidobacterium longum strain DS15_3 ,216816,216816.227,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0833358764648437,0.0129818738283958,Human Non Pathogenic,0.0
Bifidobacterium longum strain DS18_3 (216816.226),Bifidobacterium longum strain DS18_3 ,216816,216816.226,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.080474853515625,0.0339675519125707,Human Non Pathogenic,0.0
Bifidobacterium longum strain DS7_3 (216816.224),Bifidobacterium longum strain DS7_3 ,216816,216816.224,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0464859008789062,0.0090715875105273,Human Non Pathogenic,0.0
Bifidobacterium longum strain DS9_3 (216816.228),Bifidobacterium longum strain DS9_3 ,216816,216816.228,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0754623413085937,0.0308602991976748,Human Non Pathogenic,0.0
Bifidobacterium longum strain DSM 20219 (216816.128),Bifidobacterium longum strain DSM 20219 ,216816,216816.128,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0461502075195312,0.0055596618199217,Human Non Pathogenic,0.0
Bifidobacterium longum strain ICIS-505 (216816.324),Bifidobacterium longum strain ICIS-505 ,216816,216816.324,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0673675537109375,0.018338277798668,Human Non Pathogenic,0.0
Bifidobacterium longum strain Indica (216816.147),Bifidobacterium longum strain Indica ,216816,216816.147,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.060150146484375,0.0165200476178973,Human Non Pathogenic,0.0
Bifidobacterium longum strain N2E12 (216816.258),Bifidobacterium longum strain N2E12 ,216816,216816.258,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.077728271484375,0.0232921504098125,Human Non Pathogenic,0.0
Bifidobacterium longum strain N2F05 (216816.257),Bifidobacterium longum strain N2F05 ,216816,216816.257,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0796966552734375,0.034027561475416,Human Non Pathogenic,0.0
Bifidobacterium longum strain N2G10 (216816.256),Bifidobacterium longum strain N2G10 ,216816,216816.256,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.10455322265625,0.0152174121613315,Human Non Pathogenic,0.0
Bifidobacterium longum strain N3A01 (216816.254),Bifidobacterium longum strain N3A01 ,216816,216816.254,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0550537109375,0.0131366210818169,Human Non Pathogenic,0.0
Bifidobacterium longum strain N3E01-2 (216816.261),Bifidobacterium longum strain N3E01-2 ,216816,216816.261,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0751953125,0.0069436711966972,Human Non Pathogenic,0.0
Bifidobacterium longum strain N5E04 (216816.260),Bifidobacterium longum strain N5E04 ,216816,216816.26,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0634689331054687,0.009582431452644,Human Non Pathogenic,0.0
Bifidobacterium longum strain N6D05 (216816.255),Bifidobacterium longum strain N6D05 ,216816,216816.255,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0783233642578125,0.0143608715633812,Human Non Pathogenic,0.0
Bifidobacterium longum strain NCTC11818 (216816.359),Bifidobacterium longum strain NCTC11818 ,216816,216816.359,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0366592407226562,0.0036437128846018,Human Non Pathogenic,0.0
Bifidobacterium longum strain OF01-16 (216816.276),Bifidobacterium longum strain OF01-16 ,216816,216816.276,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0446853637695312,0.0045389383445968,Human Non Pathogenic,0.0
Bifidobacterium longum strain OM05-2BH (216816.272),Bifidobacterium longum strain OM05-2BH ,216816,216816.272,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0569381713867187,0.0086399347767293,Human Non Pathogenic,0.0
Bifidobacterium longum strain Su859 (216816.127),Bifidobacterium longum strain Su859 ,216816,216816.127,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.102081298828125,0.0687334791295488,Human Non Pathogenic,0.0
Bifidobacterium longum strain TF01-22 (216816.271),Bifidobacterium longum strain TF01-22 ,216816,216816.271,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0889434814453125,0.0371477875667721,Human Non Pathogenic,0.0
Bifidobacterium longum strain TF06-12AC (216816.273),Bifidobacterium longum strain TF06-12AC ,216816,216816.273,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.1019287109375,0.0154488287875298,Human Non Pathogenic,0.0
Bifidobacterium longum strain TF06-45A (216816.270),Bifidobacterium longum strain TF06-45A ,216816,216816.27,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.09515380859375,0.0163259060278198,Human Non Pathogenic,0.0
Bifidobacterium longum strain TF07-31 (216816.266),Bifidobacterium longum strain TF07-31 ,216816,216816.266,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0642471313476562,0.015292936263531,Human Non Pathogenic,0.0
Bifidobacterium longum strain TF07-34 (216816.267),Bifidobacterium longum strain TF07-34 ,216816,216816.267,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0449371337890625,0.0046407544329924,Human Non Pathogenic,0.0
Bifidobacterium longum strain TF07-39 (216816.265),Bifidobacterium longum strain TF07-39 ,216816,216816.265,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0517120361328125,0.0048837899183468,Human Non Pathogenic,0.0
Bifidobacterium longum strain TF08-4AC (216816.269),Bifidobacterium longum strain TF08-4AC ,216816,216816.269,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0581130981445312,0.0137172079385919,Human Non Pathogenic,0.0
Bifidobacterium longum strain TM01-1 (216816.268),Bifidobacterium longum strain TM01-1 ,216816,216816.268,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0694580078125,0.0186437177434649,Human Non Pathogenic,0.0
Bifidobacterium longum strain TM02-7 (216816.264),Bifidobacterium longum strain TM02-7 ,216816,216816.264,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0548934936523437,0.0185075886781482,Human Non Pathogenic,0.0
Bifidobacterium longum strain TM04-17 (216816.263),Bifidobacterium longum strain TM04-17 ,216816,216816.263,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0705795288085937,0.0246770180314062,Human Non Pathogenic,0.0
Bifidobacterium longum strain TM04-48B (216816.292),Bifidobacterium longum strain TM04-48B ,216816,216816.292,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0503616333007812,0.0121979560496298,Human Non Pathogenic,0.0
Bifidobacterium longum strain TM05-14 (216816.291),Bifidobacterium longum strain TM05-14 ,216816,216816.291,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.113189697265625,0.0504646795804462,Human Non Pathogenic,0.0
Bifidobacterium longum strain TM06-1 (216816.290),Bifidobacterium longum strain TM06-1 ,216816,216816.29,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0765914916992187,0.0207803013659449,Human Non Pathogenic,0.0
Bifidobacterium longum strain UMB0788 (216816.222),Bifidobacterium longum strain UMB0788 ,216816,216816.222,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.0915451049804687,0.0300892825843152,Human Non Pathogenic,0.0
Bifidobacterium longum strain W35-1 (216816.259),Bifidobacterium longum strain W35-1 ,216816,216816.259,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum,,,0.051513671875,0.0142627648675431,Human Non Pathogenic,0.0
Bifidobacterium longum subsp. infantis 157F (565040.3),Bifidobacterium longum subsp. infantis 157F ,565040,565040.3,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum, Bifidobacterium longum subsp. infantis 157F,,0.0445785522460937,0.0084957992842496,Human Non Pathogenic,0.0
Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 (391904.8),Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 ,391904,391904.8,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum, Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088,,0.1838226318359375,0.1222701487374638,Human Non Pathogenic,0.0
Bifidobacterium longum subsp. infantis ATCC 55813 (548480.3),Bifidobacterium longum subsp. infantis ATCC 55813 ,548480,548480.3,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum, Bifidobacterium longum subsp. longum ATCC 55813,,0.0579757690429687,0.0245613649262385,Human Non Pathogenic,0.0
Bifidobacterium longum subsp. infantis BIB1401242951 (1682.20),Bifidobacterium longum subsp. infantis BIB1401242951 ,1682,1682.2,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum, Bifidobacterium longum subsp. infantis,,0.1692657470703125,0.1341705964338933,Human Non Pathogenic,0.0
Bifidobacterium longum subsp. infantis BIB1401272845a (1682.17),Bifidobacterium longum subsp. infantis BIB1401272845a ,1682,1682.17,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum, Bifidobacterium longum subsp. infantis,,0.1961212158203125,0.1698892845766036,Human Non Pathogenic,0.0
Bifidobacterium longum subsp. infantis BIB1401272845b (1682.19),Bifidobacterium longum subsp. infantis BIB1401272845b ,1682,1682.19,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum, Bifidobacterium longum subsp. infantis,,0.1902618408203125,0.15312545916795,Human Non Pathogenic,0.0
Bifidobacterium longum subsp. infantis BIC1206122787 (1682.13),Bifidobacterium longum subsp. infantis BIC1206122787 ,1682,1682.13,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum, Bifidobacterium longum subsp. infantis,,0.1997528076171875,0.1506766743223955,Human Non Pathogenic,0.0
Bifidobacterium longum subsp. infantis BIC1307292462 (1682.14),Bifidobacterium longum subsp. infantis BIC1307292462 ,1682,1682.14,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum, Bifidobacterium longum subsp. infantis,,0.177703857421875,0.1255677376132292,Human Non Pathogenic,0.0
Bifidobacterium longum subsp. infantis BIC1401111250 (1682.15),Bifidobacterium longum subsp. infantis BIC1401111250 ,1682,1682.15,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum, Bifidobacterium longum subsp. infantis,,0.18572998046875,0.153421908934446,Human Non Pathogenic,0.0
Bifidobacterium longum subsp. infantis BIC1401212621a (1682.18),Bifidobacterium longum subsp. infantis BIC1401212621a ,1682,1682.18,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum, Bifidobacterium longum subsp. infantis,,0.1748504638671875,0.1330645733839642,Human Non Pathogenic,0.0
Bifidobacterium longum subsp. infantis BIC1401212621b (1682.16),Bifidobacterium longum subsp. infantis BIC1401212621b ,1682,1682.16,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum, Bifidobacterium longum subsp. infantis,,0.22589111328125,0.135432638241267,Human Non Pathogenic,0.0
Bifidobacterium longum subsp. infantis CCUG 52486 (537937.5),Bifidobacterium longum subsp. infantis CCUG 52486 ,537937,537937.5,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum, Bifidobacterium longum subsp. infantis CCUG 52486,,0.0573577880859375,0.0180640412406476,Human Non Pathogenic,0.0
Bifidobacterium longum subsp. infantis EK3 (1457183.3),Bifidobacterium longum subsp. infantis EK3 ,1457183,1457183.3,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum, Bifidobacterium longum subsp. infantis EK3,,0.150421142578125,0.1011700613455795,Human Non Pathogenic,0.0
Bifidobacterium longum subsp. infantis Malawi_264A_V2.1.4_MC2 (1682.49),Bifidobacterium longum subsp. infantis Malawi_264A_V2.1.4_MC2 ,1682,1682.49,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum, Bifidobacterium longum subsp. infantis Malawi_264A_V2.1.4_MC2,,0.099334716796875,0.0380123233960724,Human Non Pathogenic,0.0
Bifidobacterium longum subsp. infantis Malawi_264A_V2.1.8_MC1 (1682.50),Bifidobacterium longum subsp. infantis Malawi_264A_V2.1.8_MC1 ,1682,1682.5,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum, Bifidobacterium longum subsp. infantis Malawi_264A_V2.1.8_MC1,,0.1414413452148437,0.0830242684124995,Human Non Pathogenic,0.0
Bifidobacterium longum subsp. infantis R0033 (1678.111),Bifidobacterium longum subsp. infantis R0033 ,1678,1678.111,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum, Bifidobacterium longum subsp. infantis R0033,,0.1408538818359375,0.0890312919712838,Human Non Pathogenic,0.0
Bifidobacterium longum subsp. infantis strain 1888B (1682.32),Bifidobacterium longum subsp. infantis strain 1888B ,1682,1682.32,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum, Bifidobacterium longum subsp. infantis,,0.12054443359375,0.0736410976170542,Human Non Pathogenic,0.0
Bifidobacterium longum subsp. infantis strain BT1 (1682.24),Bifidobacterium longum subsp. infantis strain BT1 ,1682,1682.24,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum, Bifidobacterium longum subsp. infantis,,0.1466064453125,0.066411354766311,Human Non Pathogenic,0.0
Bifidobacterium longum subsp. infantis strain CECT 7210 (1682.23),Bifidobacterium longum subsp. infantis strain CECT 7210 ,1682,1682.23,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum, Bifidobacterium longum subsp. infantis,,0.0406570434570312,0.0080499440597266,Human Non Pathogenic,0.0
Bifidobacterium longum subsp. infantis strain IN-07 (1682.27),Bifidobacterium longum subsp. infantis strain IN-07 ,1682,1682.27,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum, Bifidobacterium longum subsp. infantis,,0.09259033203125,0.0536388476963771,Human Non Pathogenic,0.0
Bifidobacterium longum subsp. infantis strain IN-F29 (1682.29),Bifidobacterium longum subsp. infantis strain IN-F29 ,1682,1682.29,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum, Bifidobacterium longum subsp. infantis,,0.11676025390625,0.0767478077316004,Human Non Pathogenic,0.0
Bifidobacterium longum subsp. infantis strain NCTC11817 (1682.48),Bifidobacterium longum subsp. infantis strain NCTC11817 ,1682,1682.48,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum, Bifidobacterium longum subsp. infantis,,0.220367431640625,0.1281788089329388,Human Non Pathogenic,0.0
Bifidobacterium longum subsp. infantis strain NCTC13219 (1682.37),Bifidobacterium longum subsp. infantis strain NCTC13219 ,1682,1682.37,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum, Bifidobacterium longum subsp. infantis,,0.1467437744140625,0.1191766588641438,Human Non Pathogenic,0.0
Bifidobacterium longum subsp. infantis strain TPY12-1 (1682.30),Bifidobacterium longum subsp. infantis strain TPY12-1 ,1682,1682.3,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum, Bifidobacterium longum subsp. infantis,,0.1405105590820312,0.0961453971018453,Human Non Pathogenic,0.0
Bifidobacterium longum subsp. longum 1-5B (1350471.3),Bifidobacterium longum subsp. longum 1-5B ,1350471,1350471.3,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum, Bifidobacterium longum subsp. longum 1-5B,,0.06353759765625,0.0230194700691139,Human Non Pathogenic,0.0
Bifidobacterium longum subsp. longum 1-6B (1161744.3),Bifidobacterium longum subsp. longum 1-6B ,1161744,1161744.3,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum, Bifidobacterium longum subsp. longum 1-6B,,0.0954742431640625,0.0209872371269034,Human Non Pathogenic,0.0
Bifidobacterium longum subsp. longum 17-1B (1350473.3),Bifidobacterium longum subsp. longum 17-1B ,1350473,1350473.3,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium, Bifidobacterium longum, Bifidobacterium longum subsp. longum 17-1B,,0.101593017578125,0.0503198958967328,Human Non Pathogenic,0.0
